Kinetic cycles,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval time,,,,Not defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode,Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement wavelength,,,,600,nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of flashes,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settle time,,,,50,ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part of Plate,,,,A1-H12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,,,,6/9/2020 12:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle Nr.,Time [s],Temp. [°C],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,0,35.5,3.0529,0.0416,0.0423,0.0422,0.0415,0.0417,0.043,0.0413,0.0418,0.0425,0.0416,0.0424,0.0416,0.0647,0.0748,0.0752,0.0675,0.0691,0.066,0.0716,0.0768,0.067,0.0694,0.0418,0.0433,0.0699,0.0716,0.0744,0.071,0.0716,0.0692,0.0766,0.0735,0.0678,0.0713,0.0427,0.0421,0.067,0.0746,0.0738,0.0702,0.0677,0.061,0.0677,0.0706,0.0658,0.0721,0.0412,0.0422,0.0662,0.069,0.0741,0.0699,0.0697,0.0606,0.0653,0.0699,0.0652,0.0659,0.0416,0.0418,0.0689,0.0718,0.073,0.0693,0.0687,0.0636,0.0695,0.0673,0.0641,0.0664,0.0417,0.0424,0.0678,0.0724,0.0756,0.0733,0.0721,0.0672,0.0708,0.0707,0.0712,0.0689,0.042,0.0428,0.0433,0.042,0.0426,0.0433,0.0421,0.0418,0.0418,0.0417,0.0431,0.0417,0.0418
2,1199.92,35.6,3.0544,0.0417,0.0425,0.0423,0.0414,0.0415,0.043,0.0412,0.0417,0.0427,0.0416,0.0425,0.0416,0.0682,0.0797,0.08,0.0707,0.0704,0.0683,0.0777,0.0783,0.0684,0.07,0.0418,0.0431,0.0726,0.0789,0.0808,0.0732,0.0754,0.0722,0.0814,0.0754,0.0699,0.0716,0.0425,0.0419,0.0706,0.0835,0.081,0.0695,0.0722,0.0647,0.0711,0.0744,0.0699,0.0769,0.0412,0.0422,0.0702,0.0738,0.078,0.0738,0.0732,0.0631,0.0685,0.0753,0.0686,0.0682,0.0415,0.0417,0.0731,0.0778,0.0778,0.0725,0.0711,0.0653,0.071,0.0731,0.0684,0.0681,0.0416,0.0424,0.0692,0.0738,0.0796,0.0763,0.0749,0.0701,0.0746,0.0748,0.0757,0.0725,0.0418,0.0428,0.0433,0.042,0.0426,0.0432,0.0421,0.0418,0.0417,0.0418,0.0432,0.0417,0.0417
